Age,Work Experience,Family Expenses,Family  Size,Sex_Male,Bachelor_Yes,Graduated_Yes,Career_Content Creation,Career_Doctor,Career_Doktor,Career_Fashion Designer,Career_HR,Career_Housewife,Career_Lawyer,Career_Scientist,Career_Singer,Career__,Variable_Dog_2,Variable_Dog_3,Variable_Dog_4,Variable_Dog_5,Variable_Dog_6,Variable_Dog_7,Segmentation
-0.14634740605207489,-0.04836088252927242,0.0,0.04699275776132891,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Akshat
-0.3257966971586328,-0.19605904566761825,1.0,-0.28184008372345987,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,Akshat
-0.14634740605207489,-0.19605904566761825,2.0,0.7046584407309064,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Bhavesh
-1.3426760134291276,-0.19605904566761825,0.0,0.3758255992461177,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Darsh
-0.38561312752748544,-0.19605904566761825,0.0,-0.6106729252082486,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,Bhavesh
2.7248412516528515,-0.19605904566761825,2.0,-0.28184008372345987,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Chaitanya
-0.8043281401094539,0.46858268845493795,2.0,1.0334912822156952,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,Akshat
-0.7445117097406012,0.3208845253165921,0.0,-0.6106729252082486,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Akshat
-0.624878849002896,-0.12220996409844533,0.0,0.3758255992461177,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Chaitanya
-0.6846952793717486,-0.12220996409844533,0.0,0.7046584407309064,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Chaitanya
-0.9239610008471592,-0.19605904566761825,0.0,2.0199898066700612,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Darsh
-0.20616383642092753,0.24703544374741923,0.0,-0.6106729252082486,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Bhavesh
-0.624878849002896,-0.12220996409844533,0.0,0.7046584407309064,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Chaitanya
0.21255117616104094,-0.12220996409844533,1.0,-0.28184008372345987,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Chaitanya
0.5116333280053041,0.39473360688576503,1.0,0.3758255992461177,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Akshat
1.827594796120062,-0.12220996409844533,0.0,-0.6106729252082486,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Darsh
2.00704408722662,-0.12220996409844533,0.0,-0.6106729252082486,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Akshat
-0.38561312752748544,-0.12220996409844533,2.0,-0.28184008372345987,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Akshat
-0.5052459882651907,-0.12220996409844533,0.0,-0.6106729252082486,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Darsh
1.7677783657512094,-0.12220996409844533,2.0,-0.28184008372345987,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Akshat
1.4088797835380937,-0.12220996409844533,0.0,-0.28184008372345987,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,Akshat
-0.9837774312160118,-0.19605904566761825,0.0,0.04699275776132891,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Chaitanya
-1.5221253045356855,-0.19605904566761825,2.0,0.3758255992461177,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,Akshat
-0.08653097568322225,0.46858268845493795,1.0,0.04699275776132891,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Bhavesh
